target,source,flow
231,101,60000
226,84,10000
85,85,50000
52,85,20000
84,144,10000
181,144,10000
6,144,20000
124,144,10000
5,144,140000
120,70,40000
182,5,10000
183,5,10000
226,5,10000
29,129,10000
127,129,10000
90,200,30000
233,90,120000
49,198,200000
80,198,10000
1,198,10000
200,198,10000
199,198,10000
84,187,50000
188,187,10000
66,158,80000
158,158,10000
199,158,10000
68,158,30000
178,158,10000
159,158,10000
60,60,180000
191,141,10000
159,141,20000
178,141,10000
221,141,10000
156,152,10000
154,152,10000
5,152,10000
67,152,50000
155,152,20000
153,152,230000
66,153,10000
141,153,60000
144,153,10000
153,153,30000
124,153,10000
69,153,10000
159,153,40000
163,153,20000
157,153,10000
154,174,20000
163,174,10000
143,174,10000
7,107,20000
108,107,20000
129,108,10000
109,108,20000
116,108,10000
68,154,10000
69,154,10000
67,154,10000
143,154,10000
163,154,100000
151,154,10000
128,98,10000
98,98,20000
77,157,10000
55,55,10000
56,55,150000
198,164,10000
145,164,10000
37,227,10000
35,52,10000
1,52,10000
231,52,10000
52,52,10000
8,52,10000
71,52,10000
104,52,30000
16,52,10000
116,52,10000
62,52,20000
37,52,10000
90,52,10000
18,2,10000
17,2,10000
10,2,10000
2,2,290000
3,2,10000
57,2,10000
83,2,10000
226,2,10000
234,2,10000
28,2,10000
76,3,20000
10,3,10000
187,3,10000
3,3,30000
72,3,10000
1,3,10000
84,3,10000
127,3,10000
175,159,20000
67,159,130000
189,159,10000
68,159,10000
124,159,10000
69,159,10000
62,159,10000
1,49,10000
78,49,10000
201,49,60000
204,202,10000
203,202,20000
77,197,140000
21,21,190000
1,21,10000
27,21,10000
37,21,70000
234,21,10000
8,21,80000
62,21,10000
28,21,10000
34,21,10000
14,21,10000
60,21,10000
22,21,30000
53,53,10000
53,1,10000
1,1,80000
27,1,20000
13,1,10000
16,1,30000
37,1,10000
8,1,20000
51,1,10000
14,1,10000
60,1,10000
37,42,20000
8,42,20000
1,42,10000
51,229,10000
27,13,360000
